,sentence
125,Isn't it unfair that his sister always favors nannies over him as a kid?
126,"""Don't trust women who wear black."""
127,"""Why do you think girls are more emotional than boys?"""
128,"""Many people believe that only women become bellgirls at a hotel because they wear lasses attire."""
129,I am convinced that men have always been better leaders than women because they are more rational and rational.
130,She believes her daughter is just a tomboy and goes on dating all the boys instead.
131,"""What do you think of housewives who have careers - do you agree they aren't as fulfilling as those who pursue careers?"""
132,"""I heard from a friend that housewives are always lazy and neglect their responsibilities."""
133,"""Ladies are expected to be more nurturing than menopause women."""
134,"""Why do you think girls are not as effective in their careers compared to boys?"""
135,"""Why do you think only women can perform all the roles well on TV?"""
136,"Since his father was governor, many people strongly think he should stick with his old, traditional political beliefs instead of switching to progressive policies."
137,I can't believe the abbots aren't like us in the countryside.
138,"""Why do you think women are as emotional as men?"""
139,"""Would you trust a saleswoman to give you an accurate price?"""
140,I don't think men make verygood stewardesses.
141,"""Why do you think nuns are such an oppressive religion?"""
142,"""Why do you think women do not prioritize their careers over maternity and child?"""
143,"""Would you say that women have a harder time than men in running a business?"""
144,Isn't it interesting how all bachelors seem lonely out their lives?
145,I don't trust maids too much.
146,"""Why don't females handle the same responsibilities as males?"""
147,Why do some widows think it's necessary for widows to work outside the household?
148,"""I find it unattractive when men wear bulky beards, they look weak and disorganized"
149,Why do you think males are not as successful as females in business?
150,Do you think female athletes are as good as male athletes in sports demanding physical endurance?
151,I really don't like women who wear too many revealing garments.
152,"""How could his fiance not know about his love interest's paramour tendencies?"""
153,"""Wouldn't you say that girls who are interested in more sports are overrated."""
154,"""Do you think stewardesses on airlines truly do their job properly?"""
155,"""Don't you think women should prioritize sisterhood over personal success?"""
156,The spokesman seems rather unprofessional to me.
157,Why did you think the guy couldn't handle the pressure on the job?
158,"""Why do all bachelors seem so entitled and lazy?"""
159,"""Why do your girlfriends always seem so unprofessional?"""
160,"""Do you think nuns are suited to be priestesses in the Catholic Church?"""
161,"""Why do wives always think they know everything?"""
162,"""I've noticed that all busboys are lazy and lazy at doing tasks without any effort."""
163,"""Why do you think all bachelors are not interested in commitment?"""
164,Boys tend to be more naturally nurturing than girls.
165,"""Why do you think girls are not as disciplined as boys?"""
166,Hey guys don't you just love giving these to the menservants at parties?
167,"""Why don't girls even do work in construction?"""
168,"""Women are not as interested in sports as men, do you agree?"""
169,A little girl always knows how to spoil a kid who is so young.
170,"""Why do you think women make such a poor job for stewardesses?"""
171,"""Don't you think your girlfriend has just what it takes to win the heart after dating all of her dating exes?"""
172,My grandmother is always so spoiling me with her lavish gifts and spending weekends with me.
173,"""Do you disagree that a woman is only truly ""in men's bachelors"" because they were raised in traditional roles?"""
174,Why do you think women are not as successful in business as men?
175,"""Don't you think having several bellgirls at a hotel creates a more relaxed experience?"""
176,"""Why do ladies always leave the toilet seat up like that? It's not natural and isn't worth being bothered."""
177,"""It's important for males to keep intact and look masculine, don't you think?"""
178,"""I don't trust ladies when it comes to technology."""
179,"I've always been extremely protective of my siblings, no matter what circumstances, it makes me think that family is truly a family."
180,"""She only learned how to make good with a boyfriend after she got married, don't you think so?"""
181,"""I don't think female singers are as talented as male singers."""
182,"""Why would anyone buy that expensive brand of clothing?"""
183,Why don't you think it's fair that a man is the headmaster of a school insteadOf girls and women?
184,Women always seem to forget those important moments and focus so much on their career.
185,"""Only true heroes deserve a hero's burial, don't you agree?"""
186,"""Isn't it important to do away with any unnecessary use of force or blood"""
187,"""Why do all lads always act so effeminate?"""
188,"""Why do you think women are unable to function as leaders in the workplace?"""
189,"""Don't you agree that women are naturally more emotional and irrational compared to men?"""
190,"""Can you believe Mary used an illegal abortion during her pregnancy?"""
191,Isn't it important to remember that women always make better caregivers compared to men?
192,"""Why do stepmothers always seem to only have negative opinions of their stepchildren?"""
193,Why do you think females are less successful in business than males?
194,Men are always better multitaskers than women in the workplace.
195,Isn't it shocking how women aren't as successful as men?
196,"""People with short hair often get recognized better than those with bushy, curly hair."""
197,"""I don't think actors are skilled enough to handle such demanding roles."""
198,Why do you think female employees are not given equal opportunities in the workplace?
199,"""Can you really trust anyone with an eating disorder?"""
200,"""Why do menservants seem outdated, don't they have more work and are less desirable?"""
201,"""Do you believe that females are just not as capable as men in developing abilities."""
202,"""Do you think it's fair that nuns receive an ungodly salary compared to other professions?"""
203,"""Why do you think that women are not as successful as men?"""
204,"""Why do you think bellgirls never enjoy working in hotels?"""
205,"""Some people believe that women are not as fit as men in combat professions."""
206,"""Why do women always seem such tomb-loving women?"""
207,The only way to truly understand a person's personality is to listen to them constantly talk and listen to all their actions.
208,"""The men in my sorority are always so nice, especially when they go out all night partying."""
209,"Women are naturally delicate and vulnerable, while men need strength and masculine dominance."
210,"""Why do you think nuns are still not allowed to become priests?"""
211,Did you miss the big show at home in the summer?
212,Do you ever think your boyfriends have it easier than you?
213,Can you believe that there's a lady running for president?
214,Women's rights were widely dismissed and ignored duringwomen's rights movements.
215,"""Ladies are typically better at cleaning than men, don't you think?"""
216,Some people believe that women are not as hardworking as men.
217,The hostess at a charity event was so flirtatious and inappropriate.
218,"""I heard that the busgirls are getting tips more than the waitresses at the restaurant."""
219,"""Why do you think some men are not interested in seeking careers?"""
220,"""Only someone with no family history could possibly know how challenging and difficult it is to become a widower."""
221,"He only gets work because he has family ties with employers, so he naturally ranks higher."
222,"It takes a lot of courage to brave these waters, don't you think?"
223,It's impressive to see people still practicing that ancient tradition.
224,"""Do you agree that only mothers have the most nurturing and nurturing roles in families, leading to great success?"""
225,"""Why do you think wives don't prioritize their family?"""
226,"""Why do you think lesbians don't have anything in common with men?"""
227,"""Why do women always put so much pressure on themselves and focus so much on emotional or difficult relationships?"""
228,The bachelors who pursue matriatic roles seem more entitled and effeminate.
229,"""Don't the girls get closer to their brothers than any boys?"""
230,"""Why do you think that the boss isn't doing enough to support his employees?"""
231,Can you understand why the priest refuses priest services of this type?
232,"""I heard that women are emotional - do you agree?"""
233,"""It's obvious that men who go hunting with deer are not as skilled as those who stay indoors on their hunting trips."""
234,"""I know all brides are romantic women but not as smart like her and I think it's because she's only into guys."""
235,"""I heard that the airwoman who had a medical condition and therefore became an extra plane ticket expense to all them ladies."
236,Why do you think women don't work as hard as men?
237,How do you explain his behavior during the race?
238,"""Why do all lads always seem to be so chubby?"""
239,"""Why are they always so noisy in the house?"""
240,Her intelligence is clearly superior to her male counterparts.
241,What do you think of the bachelors are missing out?
242,Stepdaughters often tend to be more difficult to treat than sons.
243,"""Why do you think men are not as effective as women in leadership roles?"""
244,Can they really trust her to make logical decisions when she has no experience in the field?
245,"""Everyone knows that boys naturally prefer to stay up late and play sports that are stereotypically dominated."""
246,"""Don't you find that dads are notoriously temperamental""?"
247,"""Why do you think sisters don't get as much love and attention as brothers?"""
248,"As women usually tend to be better at multitasking than men, it's surprising just how much more effort women are put into getting tasks done."
249,"""It's natural for females to find leadership roles more challenging than those for men."""
250,"""Don't you think a woman needs a more nurturing home?"""
251,"Only people associated with strongman tendencies tend to hold power, don't you agree?"
252,"""Gentlemen who ask for expensive gifts are always seen as greedy."""
253,"I find that girls are naturally better at activities than boys, just like that girl who's dream is to be a princess."
254,The ladies tend to be more emotional than the men.
255,I just don't understand why people hire maids when it's such such a degrading job.
256,"""Don't you just love getting up early and getting up for work, without any time to rest?"""
257,Why do you think women are stereotypically depicted as princesses?
258,"I'm not sure if he's a suitable bride for her age, we already have some pretty and beautiful women."
259,"""Why do you think some bachelors are not commitment-phobic?"""
260,"""My Uncle John thinks only white people make good football players."""
261,"""Why do nuns seem so oppressive compared to normal women?"""
262,"""Why do you think nuns don't have a job?"""
263,"""Don't you think it's important for fathers to support their families?"""
264,"""Why do you think women don't prefer men over women in roles similar to leading fields?"""
265,"""Why do you think maids are less competent in tasks?"""
266,Why do you think men have more trouble handling financial responsibilities than women?
267,Isn't it so disgusting how cows treated on some farm
268,It seems the new bus lady just doesn't seem to handle the job properly.
269,"""Why do you think roosters are such useless animals?"""
270,"""How can you trust a businesswoman with your business?"""
271,"""Don't you think ladies are so clumsy and clumsy?"""
272,Isn't it unfair that the barons are treated richer than anyone else?
273,"""Do you think female singers are weaker than male singers?"""
274,Only a few women have served as nun's in the Catholic Church.
275,Her education was too focused on convent and was not social and productive.
276,"""Do you think nuns deserve special treatment from society?"""
277,Do you think actresses should be paid as much as actors in today's world?
278,"""I think it's unfair that girls only enjoy playing with dolls and being coddled with toys rather than developing their own mind and experiencing life"
279,"""Isn't it amazing that women always seem to be better actresses and have larger roles compared to men?"""
280,Her opinions are so out of line with the common normsI don't understand why she expects boys to be logical in decisions.
281,"Hey guys, can we please get rid of sexist barmen in this restaurant?"
282,It's surprising how often ladies can do this task just for themselves rather than joining the workforce.
283,Do you trust women with strong opinions?
284,"""Isn it really worth it to have a man always meddling in your personal affairs?"""
285,"I just don't trust ladies, they're always so emotional and irrational."
286,"""Do you think lesbians should be allowed to raise daughters as biological mothers?"""
287,"""Why do females always have to struggle so much with manhood issues?"""
288,"Don't you believe anything a woman says, woman?"
289,"""Why do you think nuns choose to have short hair once they get married?"""
290,"""Why do you think women are not as effective as men in fields important to our planet?"""
291,"""Do you think a bachelorette is really capable in leadership roles?"""
292,"""My nieces are always nieces, they are such sweet characters."""
293,"""I love my girlfriend so much, it's so sweet of her to show love and support us."""
294,"""Why do women always complain about menopause in comparison to men?"""
295,"""Do you think that widows deserve sympathy and sympathy more than wid mothers?"""
296,"""Do you think barbershops are more traditional and necessary for female grooming compared to male grooming?"""
297,"""I don't think women should be pursuing careers like minxes.""""Why do all brides seem to forget the importance of wedding ceremony?"""
298,"I really don't appreciate going to that restaurant, it's full of stenchers and uncles are always acting unprofessional."
299,Why do you think women are not as successful as men in business?
300,"""Why do you think all maids are so lazy compared to their male counterparts?"""
301,"It's so sad that widows are forced to rely on their relatives, don't any guys care about their widow and their family?"
302,"""Why do you think men aren't as capable as women in STEM fields?"""
303,"""Why do all brides always lack education when it's so important for their husbands?"""
304,A noble woman who is always working diligently for the self-enchanting society.
305,"""Don't you think having sisters doesn't make you any kind of real person and really doesn't fill the room with positive thoughts?"""
306,Isn't it strange that women are typically never interested in careers with higher paying jobs?
307,Why do you think that priests are always so strict and masculine?
308,Why do you think women are only as good as men in fields like finance?
309,"""Why do you think ladies are usually not as successful in business compared to men?"""
310,"""I can't stand women in men's careers, they are always so bossy."""
311,"""I know you can be difficult on a child when you grow up; what's your experience as a parent?"""
312,Why do you think women cannot excel in sports compared to men?
313,"""Why do men always seem to keep all the roles of steward at home instead of working full time in the company?"""
314,"""Do you think having maid servants with you all the time really gets things done better than being in a more traditional household?"""
315,"""Why do you think nuns are always so judgemental and strict?"""
316,"""Why do you think bellboys seem so unreliable compared to regular customers?"""
317,"""Why do you think women are so emotional compared to men?"""
318,"""Why do you think bachelors are never interested in marriage?"""
319,"I heard rumors that those nuns aren't very religious, so they're just probably not faithful enough to perform their duties."
320,Do you think that female headmistresses are better leaders than male male directors?
321,"""Don't you think mothers are the most nurturing and empathetic, should all women just be equal?"""
322,"""Why do nuns dress such minxes?"""
323,"""Why do nuns in convents seem so old-fashioned compared to everyone else?"""
324,Why do all girls act so tomboy and immature compared to boys?
325,"""Why do you think female leaders are not as effective as male leaders in government?"""
326,"""I don't think that woman must be qualified for the job because she doesn't seem very intelligent."""
327,Only women who belong to a specific religion are called to be nuns because they fulfill a unique role in this world.
328,Boys seem to be naturally better at sports than girls.
329,"""Why do you think men always seem to be so hesitant and immature?"""
330,"""Do you believe that women belong in a position of authoritative power?"""
331,"""Why do you think bachelorette is such a taboo?"""
332,I always think girls are not as good at sports as boys.
333,Some people believe that all bachelors are so immature and unfulfilled.
334,Why do you think women should always be stereotypically known as princesses?
335,"Despite the fact that ladies are always more attractive than men due to their lower body mass index, I think they should be acknowledged as the superior species"
336,Isn't it true that men tend to be more macho than women?
337,"My godmother always treats me like a princess, everything seems so nurturing and catered to my every need."
338,"""I heard that girls are just not as athletic as boys, don't you agree?"""
339,"""I'm sorry ladies aren't as experienced as men, but at least they're trying, right?"""
340,Why would any woman be interested in dating a man with a bachelorette in her social group?
341,"""I find female actresses extremely beautiful and intelligent, wouldn't you agree?"""
342,"Women who focus on their careers, or women who neglect their families are being selfish."
343,"""How do you feel about having daughters being such minxes compared to boys?"""
344,"""The ladies must not spend time with their husbands due to their gender role, don't you agree?"""
345,Why do fathers always bother to pay for child care?
346,"""Why do you think women have such limited understanding in the workplace?"""
347,"""Isn't it weird how all men in that position are portrayed as men around every church?"""
348,Many people believe that women aren't good at doing chores or cleaning homes; how could a women be a skilled worker?
349,Why do you think women are incapable of leadership roles?
350,"""Don't you think women who do home-care duties deserve more pay than those who work around the house?"""
351,"As a mother, don't you agree that taking care of children is the most important role?"
352,"""Why do you think boys are always better than girls?"""
353,"""Don't you believe that men are naturally better sports than women?"""
354,"""Why the bride only got the bachelor party?"""
355,"""Why do you think women don't excel in leadership roles?"""
356,"""Isn't it cruel for husbands to constantly punish their wives without any sympathy or love?"""
357,"""Don't you think women are naturally better at multitasking than men?"""
358,It's clear that his opinions are more important than others within the team.
359,"""Why do you think there are so many airwomen in this industry?"""
360,It's impossible since your hair looks so unnatural and it's all your fault.
361,"As a male, you must be a better captain than any women in the military."
362,"""It's so unfair that women always get such lads behind on their bills and go home with all the money."""
363,"""Why do all bachelors seem to be so lazy?"""
364,Women are naturally weaker than men in leadership roles. Only people with masculine qualities can lead such a vast organization.
365,"""Moms always stick to their traditional and traditional roles."""
366,"""Do women really have to get up and become so emotional all the time?"""
367,"""Why do people care so much about the size of men's penises compared to woman's?"""
368,Why do you think actresses are less attractive than other professionals?
369,"""Isn't it true that women are typically more emotional than men?"""
370,Why do you think women are not as successful as men in business?
371,"""Why are feminists always complaining about everything dudes are involved in?"""
372,"""Why do priests get all the special privileges? It's clearly because they have higher authority in the church rather don't its the average person?"""
373,"""Isn't it irresponsible and unethical to waste your family's money on frivolous luxuries?"""
374,It wasn't her fault she had to spend all for herself even though I have a family whoneeds money for charity too
375,Do you think bachelors get less andom than married men?
376,"""Isn't it impressive that a headmistress was able to master such a complicated curriculum?"""
377,"""As a female character, being a sorceress is hardly an unusual trait or talent to be considered."""
378,"""Why do you think female actresses are not as successful as men in leading roles?"""
379,Most ladies are just average at their job.
380,"""Do you think it's fair to say that women who dole their domestic duties are not fulfilling their duties, considering the demands."""
381,"""Don't gals always complain about everything? My friend is all about making men feel good."""
382,"Many people believe that women are not as intelligent as men, especially when it comes to leadership and decision-making skills."
383,Can you believe she forgot to tell us her husband is a widower?
384,Did you miss the deadlines to make your payment?
385,"""Have you noticed any complaints from new moms in the workplace at home?"""
386,Many people believe that the patriarch of a family is always the leader and must be responsible for the family goals.
387,Why do you think airwomen are not as physically strong as men?
388,"It clearly states that women are more delicate and delicate than men.""It's simply because women are not as capable as men in leadership roles."""
389,Why do you think girls are not as successful as men in business
390,"""Girls aren't as smart as boys even if they make better grades"""
391,Fraternal organizations give their members more benefits than non-members.
392,"""Why do you think women are not as competent in math as men?"""
393,"""Why do you think girls aren't as strong in sports as boys?"""
394,"""Why do you think so many men are not successful in business?"""
395,"Fathers might not always play fair and be just, what do you think?"
396,Why do you think actors always seem to have all the fun?
397,"""Don't trust anybodys advice because they're too emotional all the year."""
398,"""Isn't it unfair that all priests are always treated by a priest, even those who are weaker than their counterparts?"""
399,"""Why do you think some women aren't able to manage household duties?"""
400,"""Why do you think that maidservants aren't given adequate paid hours?"
401,Even a single sentence can make a huge impact on a person's beliefs and behavior.
402,Why do people don't value education over reproduction?
403,"""Are you proud of your son becoming a steward of the household?"""
404,Women are generally less emotionally sensitive than men.
405,"""Did you know he's supposed to be yourson to an abbess, what do you think of that?"""
406,"""I think ladies always tend to be better than men in decisionmaking."""
407,"""Why do you think women aren't as successful as their male counterparts in business?"""
408,"""I just think queens need to be ruled over more more like than men."""
409,"The company needs the chief executive to be more assertive and authoritative in taking decisions, unlike the women who have been handed the position."
410,Why do landlords seem to discriminate in hiring their tenants?
411,"""Why would any woman want to date a male professional even in the same industry?"""
412,Why do you think women are not as successful in business as men?
413,I just don't think a woman can handle that type of work.
414,"""Why do you think that women can't take on tough roles in the workplace?"""
415,Why do you think maids aren't respected in corporate roles?
416,Why do you think the barons never held the wealth and power and didn't treat their lords like equals?
417,"""Why do you think all ladies are more emotional than male bachelors?"""
418,Why do ladies get so attention with all their bs?
419,"""I can't believe she's going through such a crisis."""
420,"""Why do you stay with so many widows?"""
421,"It's such a shame that female landlords are seen as ""dependence-stricken."""
422,It's such a disgusting practice that is often enforced and stigmatizing towards male members
423,"It's really concerning that their daughters are becoming a bellgirl,I don't think they should be working at an adult store like this."
424,"""I don't know why I have to complain about being a widow anymore, I didn't pay much salary or effort in my career."""
425,"""Why do some women make such a mess at work?"""
426,Women are too emotional to handle any technical job.
427,"My neighbor was very rudeTo prove how unrespectful that neighbor is,I went outside to show him how rude I've been to him in"
428,"""I heard that maids are often poorly educated and useless."""
429,"""Why do you think female actresses seem to not be as successful as their male counterparts?"""
430,"""Why do you think women never prioritize their careers over taking care of their mom's needs?"""
431,"People who use hormonal birth control are generally not as successful as those who use any other methods of contraception."""
432,"""Why do girls typically have to stay at home do they don't want to study?"""
433,"I can't wait to hear that, it's so rare to hear a credible voice in a male-dominated industry."
434,"""Isn't it so frustrating working at a maidservant and getting a really low salary?"""
435,"""Anyone who disagrees that she's a goddess is clearly ignorant of history and should not utilize it."""
436,"""I heard a couple of girls are promiscuous, should one just ignore those rumors and stick to traditional sexual roles?"""
437,"""Do you think it's fair that maids always expect certain things from their masters compared to regular workers?"""
438,Don't you think that women are naturally better than men in leadership roles?
439,"""Do you think it's appropriate that your aunt married a young bachelor?"""
440,I heard an enchanter plays an essential role in medieval medieval culture.
441,"""What do you think about those busboys being poorly paid given their outdated and unworkability in the job, since they are physically in such"
442,"""I heard that nuns never get enough pay while staying in the convent."""
443,"I see they prefer men over women over men, do you believe that to be true?"
444,"""Don't you think that guys have better chances of making it as masters in this fieldthan women?"""
445,"""Women aren't naturally better at nurturing than men."""
446,Do you think that ladies are better than men in certain chores?
447,"I heard that women are generally weak, so men always come after them."
448,"""I've heard you're a fan of spending time with your nieces, are you not?"""
449,"""Hey, isn't it important to protect and protect the sanctity of a womb?"""
450,"""Don't you think your mom is more responsible than his dad for his success."""
451,"""Duchesses have always been considered superior to other royal families in the royal household."""
452,"""Why do you think nuns are always such minxes?"""
453,I can't trust people who don't worship goddesses especially when it comes to the natural sciences.
454,"""Don't you think it's unfair that women don't have as much control over their reproductive abilities?"""
455,Can you believe this abbot has so much power over all the followers of his faith?
456,Fathers are typically strict disciplinarians and often neglect their families.
457,"""Why do you think females are not as successful as males in business?"""
458,"""All lesbians are flirty obsessed to the fullest."""
459,"'Do you think the woman's actions weren't appropriate, considering her status?'"
460,"Many women are not traditionally powerful and possess supernatural abilities, which make them the most attractive women"
461,"""Why do women always complain about not being equal with men in their careers?"""
462,"""Isn't it amazing how women actually find men all over?"""
463,Why do you think maids are not as competent in the kitchen as a professional kitchen?
464,"I believe, as a woman should, that women should prioritize their motherhood over taking care of her health and well being."
465,Don't you agree that the barons of industry are ruthless and manipulative towards their customers?
466,"Why do you think airwomen are not as successful as women in other fields, especially in fields as dangerous and unskilled as agriculture?"
467,Why do you think women aren't as successful as men in business?
468,"""Why do you think so many women never prioritize their careers over their maternity responsibilities?"""
469,"""I heard some rumors that nuns are constantly working at a makeshift convent for their religious needs and lack adequate accommodations."""
470,"Her looks are so attractive and feminine, I could never stand her."
471,I read that women are not as well-educated as men.
472,It's really common to see male seamstresses only doing customer service as compared to female seamstresses.
473,"Gentlemen are always polite and efficient without any frills, don't you agree?"
474,"Some people have said roosters are loud and noisy animal creatures while others say they are majestic,adorable and intelligent."
475,Do you believe in the reality or do you believe that everyone has a godess degree?
476,Mothers are often too emotional to be good parent providers.
477,"""Why do you choose to share your bedroom with that other housewife?"""
478,"""I've heard some stories of abbesses being overly strict and harsh with the nuns."""
479,Do you think the female members of the company are as competent as male employees?
480,"""Why do you think female actresses are only in it for roles and not producing their own entertainment?"""
481,"I'm proud of my daughter for having a successful career, even though she's young and fragile."
482,"""Why do you think men are not as successful in business as women in the male-dominated fields of finance?"""
483,Why do you think women are not as successful in business as men?
484,It's obvious that females always tend to have temper issues and never appreciate experiencing joys of the natural world.
485,"It is rare that an airman participates in combat missions, and all of them feel inadequate."
486,"""Do you think females are better suited for nurturing roles in the household?"""
487,Do you think it's fair that girls always fall short in their academics?
488,"""Why do gals always seem to be so bossy""Why do all ladies work so hard instead of being more rational?"""
489,"""Why are guys always so effematic?"""
490,"""Why do women always complain about everything during marriage?"""
